sample_id_new;sample_id
HEPG2_CDCA_r2;HEPG2_CDCA_r2
HEPG2_DMSO_r2;HEPG2_DMSO_r2
U2OS_Calcitriol_r2;U2OS_Calcitriol_r2
U2OS_PMA_r2;U2OS_PMA_r2
U2OS_Heat_r2;U2OS_Heat_r2
U2OS_DMSO_r2;U2OS_DMSO_r2
MCF7_Hexestrol_r2;MCF7_Hexestrol_r2
MCF7_DMSO_r2;MCF7_DMSO_r2
mES_2i_r2;mES_2i_r2
mES_LIF_PD_r2;mES_LIF_PD_r2
mES_LIF_CH_r2;mES_LIF_CH_r2
mES_2i_LIF_r2;mES_2i_LIF_r2
mES_POU5F1_DEG_r2;mES_POU5F1_DEG_r2
mES_POU5F1_ctrl_r2;mES_POU5F1_ctrl_r2
mES_SOX2_DEG_r2;mES_SOX2_DEG_r2
mES_SOX2_ctrl_r2;mES_SOX2_ctrl_r2
mES_FOXA1-OE_r2;mES_FOXA1-OE_r2
mES_FOXA1-OE_ctrl_r2;mES_FOXA1-OE_ctrl_r2
HEPG2_CDCA_r1;HEPG2_CDCA_r1
HEPG2_DMSO_r1;HEPG2_DMSO_r1
U2OS_PMA_r1;U2OS_PMA_r1
U2OS_Heat_r1;U2OS_Heat_r1
U2OS_DMSO_r1;U2OS_DMSO_r1
MCF7_Hexestrol_r1;MCF7_Hexestrol_r1
MCF7_DMSO_r1;MCF7_DMSO_r1
mES_2i_r1;mES_2i_r1
mES_LIF_PD_r1;mES_LIF_PD_r1
mES_LIF_CH_r1;mES_LIF_CH_r1
mES_2i_LIF_r1;mES_2i_LIF_r1
mES_POU5F1_DEG_r1;mES_POU5F1_DEG_r1
mES_POU5F1_ctrl_r1;mES_POU5F1_ctrl_r1
mES_SOX2_DEG_r1;mES_SOX2_DEG_r1
mES_SOX2_ctrl_r1;mES_SOX2_ctrl_r1